time	ABCA3	AGER	NME3	RAGE	tbp	Vegf	ABCD1	hprt	ABCG2	HPGDS	INMT	ADAMTSL2	integrin subunit alpha 8	Lrp2	TTF-1	VIM	AMACR	ywhaz	CD38	Shisa3	Claudin 1	Claudin5	P-63	tfrc	E2F8	TGFB1	EGFR (Epidermal growth factor receptor) (PMID 22916088 22245996)	FGF18	Igfbp3	ppia	EPHA7	Tnc	F13A1	FOXF2	Hist1h1b	Hist1h2ab	GATA-6	N-Cadherin(CDH2)	GUCY1A2  sGC(soluble guanylate cyclase) (PMID 23934926)	hmbs	MMP-3	MMP7	Thy1	Kcnma1	MCPt4	SFTP-D	THTPA	MGAT4A	PRIM2	EGFR
10.0	7.954875	11.868	6.683375	4.1215	5.967775	9.076041666666669	6.535375	6.490125	5.976375000000001	4.60359375	6.2545	7.866375	7.786124999999999	6.33875	5.638625	8.7738125	5.803	8.746416666666667	7.3325	5.5465	5.53625	9.8685	8.78975	8.17440625	4.86475	5.936125	5.343	6.59625	5.947333333333333	10.6199375	7.43475	10.8935	4.8955	7.234999999999999	9.26125	8.9705	6.757	6.9315	5.08075	6.245	3.40475	2.76125	2.76125	4.58975	4.7541875000000005	10.377	4.7163125	5.005666666666667	5.7045625	5.343
10.5	7.570875	11.99625	6.345062500000001	5.415000000000001	5.050274999999999	8.531583333333332	6.52675	6.15525	6.5642499999999995	5.291578125	8.75625	7.58575	7.259458333333333	6.08975	5.9568125	8.834625	6.11525	8.62375	6.9625	5.9085	5.13525	10.06375	9.04325	7.89046875	5.140625	6.2735	5.1005	6.65975	6.934749999999999	10.794125	8.0405	10.76425	5.288250000000001	8.218499999999999	8.245750000000001	8.56725	6.641	6.9445	6.49825	5.931500000000001	3.994	3.51	5.078250000000001	5.1918750000000005	5.122	10.08225	5.36559375	5.550833333333333	5.91825	5.1005
11.0	7.489875	11.996250000000002	6.901093749999999	3.70775	6.30715	9.68875	6.524000000000001	5.947625	6.229625	4.743984375	8.9305	7.592625	7.991875	6.4875	6.14978125	9.2130625	5.48875	8.658833333333332	7.6225	4.83075	4.89475	10.745	8.58025	7.72303125	4.132	5.763875	5.934250000000001	6.994999999999999	7.004708333333333	10.708	8.2765	10.74775	4.45925	8.133000000000001	7.31025	7.72425	6.94425	7.09075	5.247	5.965	4.10325	3.2325	4.7642500000000005	4.80575	4.71859375	10.04775	4.50509375	4.8065	5.4883125	5.934250000000001
11.5	7.650499999999999	11.996250000000002	6.726875	3.981	6.0280249999999995	9.582166666666668	6.614	6.0634999999999994	6.3365	4.803234375000001	9.43375	7.728875	8.113708333333333	6.2695	6.0253125	9.204	5.498625	8.752416666666667	7.51775	4.56825	5.228	10.31175	8.81925	7.89909375	4.284125	5.427874999999999	5.850750000000001	6.9465	6.973999999999999	10.6633125	8.108125000000001	10.64425	4.49475	7.81375	7.78875	7.6855	7.00925	7.13275	5.9685	6.173500000000001	3.3715	2.4755	4.764	4.661875	4.452187499999999	10.12925	4.637031250000001	5.125458333333334	6.147562500000001	5.850750000000001
12.0	8.0325	11.868	6.62459375	4.05225	5.7124	9.67975	6.656375	5.896000000000001	6.751249999999999	4.670546874999999	8.545	8.182375	8.128125	6.235	5.917781249999999	9.3900625	5.056375	8.609333333333334	7.473999999999999	4.27175	5.15875	9.97625	8.914	8.18521875	4.5525	5.54125	6.303250000000001	7.216499999999999	6.481645833333333	10.79825	8.370750000000001	10.3095	4.8805	7.829499999999999	8.203	8.258750000000001	6.7951250000000005	7.2415	5.89425	6.1485	4.0725	2.483	3.97375	4.6105	3.97728125	10.22	4.700125	5.191770833333333	5.92984375	6.303250000000001
12.5	7.9335	12.1245	6.76078125	3.82725	6.023250000000001	10.12975	6.684	6.133125	6.2219999999999995	4.4724375	9.816	8.1625	8.069125	6.15875	6.109562499999999	9.35525	5.068125	8.489833333333333	7.67725	4.3935	5.63325	10.05	8.965499999999999	8.117843749999999	4.3968750000000005	5.235625	6.0545	6.89325	6.842520833333333	10.832	8.27425	10.129	4.18975	7.7225	8.277000000000001	8.054	6.9186250000000005	6.7855	5.964	6.34225	3.86725	2.6815	4.57575	4.572375	4.700875	10.0255	4.85503125	5.429729166666667	6.0417812500000005	6.0545
13.0	7.853375000000001	12.1245	6.8653125	4.5005	6.165725	9.816833333333332	6.712375	6.124124999999999	6.2798750000000005	4.756640625000001	9.93425	8.050125000000001	7.998458333333334	6.367	6.2173125	9.1531875	5.3215	8.344333333333333	7.794499999999999	3.96375	5.51875	10.35825	8.674	7.89728125	4.563625	5.45025	5.8885000000000005	6.63	7.171770833333333	10.57025	8.121125	9.663	4.26875	7.7785	7.6915	7.93225	6.9963750000000005	6.925000000000001	5.77175	6.17025	4.31425	2.49125	4.12725	5.339375	4.41925	10.20375	5.27421875	5.0591875	6.20515625	5.8885000000000005
13.5	7.195166666666667	12.21	6.842041666666667	4.695	6.180433333333333	9.469333333333331	6.757833333333334	6.57	6.515000000000001	4.401583333333333	10.367333333333333	8.401833333333334	8.374444444444444	7.187333333333332	6.407083333333333	9.574833333333334	5.507333333333333	8.595333333333334	7.630666666666666	4.432	5.751666666666666	9.757	8.413	7.817333333333334	4.215166666666667	5.656833333333333	5.371	6.061	6.953111111111111	10.658500000000002	8.380666666666666	8.667000000000002	4.541	7.615666666666667	7.653	8.193666666666667	7.282333333333334	6.856999999999999	5.361	6.232333333333334	5.656	2.664	4.15	4.7956666666666665	4.34825	10.173	4.573416666666667	4.88188888888889	5.747833333333333	5.371
14.0	7.809375	11.996250000000002	6.6699375000000005	4.78525	6.024025	9.532333333333334	6.5177499999999995	6.0402499999999995	6.215375	4.567234375	10.70575	8.095875	8.152458333333334	5.84225	5.94809375	9.1875	5.14175	8.437583333333334	7.531	4.59475	5.889	9.81025	9.08725	8.14934375	4.245125	5.0915	6.263000000000001	6.6385	6.852187499999999	10.968125	8.269	9.675249999999998	4.184	7.2215	8.123	8.259500000000001	7.052625	7.084	6.254	6.47125	4.40825	2.26	4.134250000000001	4.630125	4.361625	9.8825	4.727625	5.536229166666667	6.2582812500000005	6.263000000000001
15.0	8.139750000000001	12.381	6.81090625	4.482	6.163399999999999	9.710375	6.999749999999999	6.019375	6.877749999999999	4.725890625	11.252	8.641375	8.419333333333334	6.52425	6.175843749999999	9.1195625	5.311	8.665166666666666	7.8995	4.365	5.1715	10.45875	8.802000000000001	8.213875000000002	4.52125	5.521625	6.5855	6.221500000000001	7.741854166666666	10.4700625	8.050374999999999	8.31525	4.723	7.0565	7.180750000000001	7.568749999999999	7.05325	7.0455	6.34	6.3655	4.38225	2.62175	4.6065	4.3625	4.22878125	10.393	4.52365625	5.364604166666666	6.30184375	6.5855
